id,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price(£)
217,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 930MX,Windows 10,543.13
218,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,605.29
219,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,673.77
220,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 520,Linux,356.82
221,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,473.59
222,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256,Intel HD Graphics 520,Windows 10,718.02
223,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1,Intel UHD Graphics 620,Windows 10,418.27
224,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1060,Windows 10,1293.99
225,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows 10,438.29
226,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16,1,AMD Radeon R7 M445,Windows 10,452.52
227,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 920MX ,Windows 10,405.11
228,17.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce GTX 950M,Windows 10,469.37
229,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1,AMD FirePro W4190M ,Windows 10,668.5
230,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1,Intel HD Graphics 620,Windows 10,210.19
231,15.6,1366x768,AMD E-Series 9000e 1.5GHz,4,500,AMD Radeon R2,Windows 10,173.84
232,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1060,Windows 10,789.67
233,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,452.52
234,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,8,256,Intel HD Graphics 520,Windows 10,362.96
235,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,256,AMD Radeon R7 M445,Linux,473.59
236,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1,Intel HD Graphics 520,Linux,205.45
237,15.6,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4,128,AMD Radeon R5 M430,Windows 10,302.91
238,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,32,512,Nvidia GeForce GTX 1080,Windows 10,2049.23
239,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,445.67
240,15.6,1366x768,Intel Core i3 6006U 2GHz,8,128,Intel HD Graphics 520,Windows 10,310.28
241,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128,Nvidia GeForce 150MX,Windows 10,603.18
242,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,128,Nvidia GeForce GTX 950M,No OS,468.32
243,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,463.05
244,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,568.41
245,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128,AMD Radeon 530,Windows 10,518.89
246,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8,1,Intel HD Graphics 620,Windows 10,294.48
247,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16,256,Nvidia GeForce GTX 1080,Windows 10,1579.86
248,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500,Intel UHD Graphics 620,Windows 10,355.59
249,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,512,Intel Iris Plus Graphics 650,macOS,1074.66
250,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,1,Intel UHD Graphics 620,Windows 10,431.44
251,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 980M,Windows 10,947.7
252,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1,AMD Radeon R5 M420,Windows 10,247.07
253,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,974.04
254,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,256,Nvidia GeForce MX130,Windows 10,369.81
255,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,499.93
256,15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,8,128,AMD Radeon R4 Graphics,Windows 10,234.9
257,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,1,Nvidia GeForce MX150,Windows 10,557.88
258,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1070,Windows 10,1316.46
259,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,512,Nvidia GeForce GTX 1050M,Windows 10,895.02
260,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128,AMD Radeon 530,Windows 10,601.6
261,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256,Intel HD Graphics 520,No OS,233.9
262,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500,Intel HD Graphics 620,Windows 10,380.35
263,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1,Intel HD Graphics 620,Windows 10,346.1
264,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1,AMD Radeon R5 M430,Windows 10,297.64
265,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,420.91
266,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,789.67
267,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1,Intel HD Graphics 620,No OS,246.01
268,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1,Nvidia GeForce 930MX ,Windows 10,536.28
269,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,463.58
270,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.9GHz,8,512,Intel Iris Graphics 550,macOS,1031.94
271,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,16,256,AMD Radeon RX 580,Windows 10,816
272,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 520,Linux,387.23
273,14,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,16,512,Intel HD Graphics 520,Windows 10,1316.46
274,15.6,1366x768,Intel Core i7 6500U 2.5GHz,8,500,Nvidia GeForce 930M,Windows 10,427.76
275,15.6,1366x768,Intel Core i7 7500U 2.7GHz,12,1,Intel HD Graphics 620,Windows 10,375.64
276,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128,AMD Radeon 530,Linux,578.95
277,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1,Nvidia GeForce MX130,Windows 10,392.46
278,17.3,1600x900,Intel Core i3 6006U 2GHz,4,1,Intel HD Graphics 520,Windows 10,257.6
279,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,2,Nvidia GeForce MX150,No OS,447.25
280,17.3,1600x900,Intel Core i7 7500U 2.7GHz,6,128,Nvidia GeForce 940MX,Windows 10,452.52
281,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4,1,AMD Radeon R5 M430,Linux,225.47
282,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,436.71
283,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256,Intel HD Graphics 620,Windows 10,305.01
284,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce MX150,Windows 10,500.98
285,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12,1,Intel HD Graphics 620,Windows 10,347.16
286,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 630,Windows 10,577.89
287,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,Windows 10,514.68
288,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050 Ti,Windows 10,621.09
289,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1,Nvidia GeForce 940MX,No OS,347.16
290,15.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,2,16,Intel HD Graphics,Chrome OS,104.83
291,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1,Nvidia GeForce GTX 1050,Windows 10,625.31
292,17.3,1600x900,Intel Core i3 6006U 2GHz,8,1,Intel HD Graphics 520,Windows 10,257.6
293,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,963.51
294,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,389.3
295,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1,Nvidia GeForce GTX 1060,Windows 10,684.31
296,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050 Ti,Linux,515.73
297,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16,256,Nvidia Quadro M1200,Windows 10,1519.73
298,15.6,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6,1,AMD Radeon R5 430,Windows 10,262.87
299,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,512,Nvidia GeForce 940MX,Windows 10,773.33
300,14,1366x768,Intel Core i3 7100U 2.4GHz,4,128,Intel HD Graphics 620,Windows 10,268.14
301,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1070,Windows 10,1117.86
302,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6,1,Nvidia GeForce GTX 940M,Windows 10,341.89
303,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,2,Nvidia GeForce 940MX,No OS,289.21
304,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128,Nvidia GeForce GTX 1050 Ti,Windows 10,666.4
305,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1,Intel HD Graphics 505,No OS,189.64
306,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,16,256,Intel HD Graphics 620,Windows 10,1040.42
307,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256,Nvidia GeForce 930M,Windows 10,549.45
308,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,128,Nvidia GeForce 940MX,Windows 10,431.44
309,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1,Intel HD Graphics 520,Windows 10,247.07
310,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,526.27
311,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,1,Intel UHD Graphics 620,Windows 10,1316.46
312,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1070,Windows 10,1105.74
313,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8,256,AMD Radeon R5,Windows 10,247.07
314,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2,32,Intel HD Graphics 500,Windows 10,144.87
315,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128,AMD Radeon 530,Windows 10,444.61
316,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,1,Intel UHD Graphics 620,Windows 10,1290.12
317,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4,16,Intel HD Graphics 510,Chrome OS,242.27
318,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,516.26
319,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4,128,Intel HD Graphics 405,Windows 10,255.5
320,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,680.62
321,17.3,1600x900,Intel Core i5 7200U 2.5GHz,4,1,Nvidia GeForce 920MX,Windows 10,310.28
322,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,576.31
323,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8,1,Intel UHD Graphics 620,Windows 10,475.17
324,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8,256,AMD Radeon RX 540,Windows 10,347.16
325,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,153.82
326,15.6,1366x768,Intel Core i5 7200U 2.5GHz,6,1,Intel HD Graphics 620,Windows 10,289.21
327,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows 10,553.08
328,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,703.27
329,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32,1,Nvidia GeForce GTX 1050,Windows 10,1390.21
330,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050 Ti,Windows 10,631.63
331,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,496.77
332,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,702.74
333,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1,Intel HD Graphics 520,Windows 10,236.53
334,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,526.27
335,14,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256,Intel HD Graphics 620,Windows 10,667.98
336,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128,Nvidia GeForce 940MX,Windows 10,552.61
337,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,602.65
338,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1,Intel HD Graphics 500,Linux,144.86
339,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 940MX,Windows 10,601.99
340,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500,Intel HD Graphics,Linux,144.82
341,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12,2,AMD Radeon 530,Windows 10,473.59
342,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1,Nvidia GeForce 930MX ,Windows 10,377.18
343,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,1105.74
344,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,831.81
345,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050 Ti,Windows 10,594.75
346,14,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2,32,Intel HD Graphics 400,Windows 10,146.98
347,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,16,512,Intel UHD Graphics 620,Windows 10,847.06
348,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,197.55
349,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1,AMD Radeon 530,Windows 10,349.26
350,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,1068.03
351,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,686.94
352,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128,Nvidia GeForce GTX 1060,Windows 10,742.25
353,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia Quadro M1200,Windows 10,915.71
354,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16,512,Nvidia GeForce 930M,Windows 10,739.09
355,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128,AMD Radeon 530,Windows 10,511.46
356,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1,Intel HD Graphics 500,No OS,169.62
357,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,1,Nvidia GeForce GTX 1050,Windows 10,526.27
358,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8,2,Intel HD Graphics 620,Windows 10,293.62
359,14,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256,Intel HD Graphics 620,Windows 10,751.74
360,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,Windows 10,231.26
361,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,497.82
362,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6,128,Nvidia GeForce GTX 940MX,Windows 10,378.77
363,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1,Intel HD Graphics 620,Windows 10,336.62
364,15.6,1366x768,Intel Core i3 6006U 2GHz,8,256,Nvidia GeForce 920MX ,No OS,262.87
365,15.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,8,2,Intel HD Graphics 405,Windows 10,204.92
366,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128,AMD Radeon 530,Windows 10,571.57
367,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128,Nvidia GeForce GTX 1050,No OS,426.18
368,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R7 M445,Windows 10,473.59
369,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,921.89
370,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12,512,Nvidia GeForce GT 940MX,Windows 10,578.95
371,15.6,1366x768,AMD A9-Series 9420 3GHz,4,128,AMD Radeon R5,Windows 10,224.41
372,17.3,IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3GHz,16,256,AMD Radeon RX 580,Windows 10,1158.42
373,17.3,1600x900,AMD A8-Series 7410 2.2GHz,4,128,AMD Radeon R5,Windows 10,257.6
374,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,457.79
375,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4,256,AMD Radeon R5,Windows 10,257.6
376,11.6,IPS Panel 1366x768,Intel Celeron Quad Core N3450 1.1GHz,4,128,Intel HD Graphics 500,Windows 10,291.32
377,15.6,1366x768,Intel Celeron Dual Core N3060 1.60GHz,4,500,Intel HD Graphics 400,Windows 10,162.78
378,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,150.66
379,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1,Nvidia GeForce GTX 1050,Linux,445.67
380,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128,Nvidia GeForce GTX 1050,Windows 10,627.41
381,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,No OS,212.56
382,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128,Nvidia GeForce GTX 1060,Windows 10,871.84
383,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,Windows 10,578.95
384,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,921.31
385,14,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,1202.15
386,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4,128,Intel HD Graphics 620,Windows 10,289.21
387,15.6,Full HD 1920x1080,Intel Core i5 6440HQ 2.6GHz,8,500,AMD FirePro W5130M,Windows 10,721.18
388,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,8,256,Nvidia Quadro M1200,Windows 10,1124.71
389,14,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,1321.73
390,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1,Nvidia GeForce GTX 1050,Windows 10,547.34
391,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,26,Nvidia GeForce GTX 1050 Ti,Windows 10,838.13
392,15.6,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,12,1,Nvidia GeForce MX130,Windows 10,365.59
393,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050 Ti,Windows 10,710.65
394,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R7 M445,Linux,410.3
395,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4,256,AMD Radeon 520,Windows 10,262.87
396,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon RX 550,Windows 10,647.73
397,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,494.13
398,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia Quadro M1200,Windows 10,1428.67
399,14,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,16,1,Intel HD Graphics 620,Windows 10,1382.84
400,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1,Intel HD Graphics 500,Windows 10,161.2
401,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050,Windows 10,805.47
402,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon RX 550,Windows 10,602.92
403,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Linux,463.05
404,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1070,Windows 10,1184.76
405,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,986.69
406,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16,512,Intel HD Graphics 520,Windows 10,920.31
407,14,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8,512,Intel HD Graphics,Windows 10,885.01
408,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,Windows 10,215.46
409,11.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,2,32,Intel HD Graphics 500,Windows 10,160.38
410,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,512,Nvidia Quadro M1200,Windows 10,1014.08
411,14,IPS Panel Full HD 2560x1440,Intel Core i7 7700HQ 2.8GHz,8,512,Nvidia GeForce GT 940MX,Windows 10,1023.56
412,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1,AMD Radeon 520,Windows 10,247.07
413,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,8,256,Intel HD Graphics 520,Windows 10,415.65
414,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,488.87
415,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256,AMD Radeon R5 M430,Linux,315.5
416,13.3,1366x768,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,362.96
417,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256,Intel HD Graphics 520,Windows 10,790.19
418,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1,Intel HD Graphics 620,Windows 10,284.44
419,14,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon RX 550,Windows 10,640.26
420,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,1000.38
421,12.3,IPS Panel Retina Display 2736x1824,Intel Celeron Quad Core N3450 1.1GHz,6,64,Intel HD Graphics 500,Windows 10,236.53
422,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8,256,Intel HD Graphics 630,Windows 10,751.74
423,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1,Nvidia GeForce 940MX,Linux,314.5
424,17.3,IPS Panel 2560x1440,Intel Core i7 7820HK 2.9GHz,16,256,Nvidia GeForce GTX 1070,Windows 10,1474.5
425,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050 Ti,Windows 10,610.55
426,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,601.81
427,14,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8,256,Intel HD Graphics 620,Linux,578.95
428,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,256,Nvidia GeForce GTX 1070,Windows 10,1053.06
429,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,157.51
430,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,16,Intel HD Graphics 400,Chrome OS,141.71
431,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,532.06
